[153522]: 350ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:2677 PrepareCompressionCodec: Prepare compression codec.
[153522]: 350ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0x007f8f5cb0b068; name='SPEECH-Compression-Codec-Module'; value=''
[153522]: 350ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:2739 PrepareFirstAudioReadyState: (0x0x7f8f5cb0b010)->PrepareCompressionCodec() result:        4. Sending the audio uncompressed
[153522]: 350ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0x007f8f5cb0b068; name='AZAC-SDK-PROGRAMMING-LANGUAGE'; value='Python'
[153522]: 350ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxPropertyBagImpl::SetStringValue: this=0x0x007f8f5b82aa90; name='HttpHeader#User-agent'; value='SpeechSDK-Python/1.30.0 Darwin Darwin 21.5.0'
[153522]: 350ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:346 UspInitialize: this=0x0x7f8f5cb0b010
[153522]: 350ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxUspCallbackWrapper' as '710381509'
[153522]: 350ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0x007f8f5cb0b068; name='SessionId'; value='5b457f1897ea4d859883d07e24fb5f06'
[153522]: 350ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1824 GetScenarioCount: countSpeech=1; countIntent=0; countTranslation=0; countDialog=0, countTranscriber=0, countLanguageId=0
[153522]: 350ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:740 SetUspEndpointDefaultSpeechService: Endpoint type: Speech.
[153522]: 350ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0x007f8f5cb0b068; name='SPEECH-Region'; value='eastus'
[153522]: 350ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxPropertyBagImpl::SetStringValue: this=0x0x007f8f5b82aa90; name='SPEECH-RecoLanguage'; value='en-us'
[153522]: 350ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0x007f8f5cb0b068; name='SPEECH-RecoLanguage'; value='en-us'
[153522]: 351ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0x007f8f5cb0b068; name='Auto-Detect-Source-Languages'; value='en-US,fr-FR,id-ID,es-ES'
[153522]: 351ms SPX_TRACE_INFO:  usp_reco_engine_adapter.cpp:1050 SpeechServiceConnection_LanguageIdMode not set or has invalid value .
[153522]: 351ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:620 SetUspLanguageIdModeAndPriority: languageIdMode=0, languageIdPriority=0
[153522]: 351ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0x007f8f5cb0b068; name='SPEECH-RecoMode'; value='INTERACTIVE'
[153522]: 351ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:594 SetUspRecoMode: recoMode=0
[153522]: 351ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:581 SetUspEndpoint: Setting Websocket Polling interval to 10
[153522]: 351ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0x007f8f5cb0b068; name='SPEECH-SubscriptionKey'; value='******************************27'
[153522]: 351ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::FindPrefix: this=0x0x007f8f5cb0b068; name='User-agent'; value='SpeechSDK-Python/1.30.0 Darwin Darwin 21.5.0'
[153522]: 351ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0x007f8f5cb0b068; name='SPEECH-ProxyHostBypass'; value=''
[153522]: 351ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0x007f8f5cb0b068; name='AZAC-SDK-PROGRAMMING-LANGUAGE'; value='Python'
[153522]: 351ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0x007f8f5cb0b068; name='AudioConfig_AudioSource'; value='Microphones'
[153522]: 351ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0x007f8f5cb0b068; name='SPEECH-MicrophoneNiceName'; value=''
[153522]: 351ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0x007f8f5cb0b068; name='AudioConfig_SampleRateForCapture'; value='16000'
[153522]: 351ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0x007f8f5cb0b068; name='AudioConfig_BitsPerSampleForCapture'; value='16'
[153522]: 351ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0x007f8f5cb0b068; name='AudioConfig_NumberOfChannelsForCapture'; value='1'
[153522]: 351ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxUspConnection' as '792041254'
[153522]: 351ms SPX_TRACE_INFO:  usp_connection.cpp:460 Connect: entering...
[153522]: 351ms SPX_TRACE_INFO:  usp_connection.cpp:477 Adding subscription key headers
[153522]: 351ms SPX_TRACE_INFO:  usp_connection.cpp:512 Set a user defined HTTP header 'User-agent':'SpeechSDK-Python/1.30.0 Darwin Darwin 21.5.0'
[153522]: 352ms SPX_TRACE_INFO:  usp_connection.cpp:527 connectionUrl=wss://eastus.stt.speech.microsoft.com/speech/recognition/interactive/cognitiveservices/v1?language=en-us&lidEnabled=en-US%2Cfr-FR%2Cid-ID%2Ces-ES
[153522]: 352ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxTelemetry' as '151041793'
[153522]: 352ms SPX_DBG_TRACE_SCOPE_ENTER:  web_socket.cpp:216 CSpxWebSocket
[153522]: 352ms SPX_DBG_TRACE_SCOPE_EXIT:  web_socket.cpp:216 CSpxWebSocket
[153522]: 352ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxWebSocket' as '482598724'
[153522]: 352ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:31 UwsWebSocket
[153522]: 352ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:31 UwsWebSocket
[153522]: 352ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:43 Initialize
[153522]: 352ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:43 Initialize
[153522]: 352ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:221 SetRequestHeader
[153522]: 353ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:221 SetRequestHeader
[153522]: 353ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:221 SetRequestHeader
[153522]: 353ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:221 SetRequestHeader
[153522]: 353ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:221 SetRequestHeader
[153522]: 353ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:221 SetRequestHeader
[153522]: 353ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxPropertyBagImpl::SetStringValue: this=0x0x007f8f5b82aa90; name='SPEECH-ConnectionUrl'; value='wss://eastus.stt.speech.microsoft.com/speech/recognition/interactive/cognitiveservices/v1?language=en-us&lidEnabled=en-US%2Cfr-FR%2Cid-ID%2Ces-ES'
[153522]: 353ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:1103 speech.config {"context":{"system":{"version":"1.30.0","name":"SpeechSDK","build":"OSX-x64","lang":"Python"},"os":{"name":"Darwin","version":"21.5.0","platform":"Darwin"},"audio":{"source":{"type":"Microphones","model":"","samplerate":"16000","bitspersample":"16","channelcount":"1"}}}}
[153522]: 353ms SPX_TRACE_INFO:  usp_connection.cpp:762 Create requestId  for messageType 0
[153522]: 353ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:219 SetFormat
[153522]: 353ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:3257 InformAdapterSetFormatStarting
[153522]: 353ms SPX_TRACE_INFO:  web_socket.cpp:800 DoWork: open transport.
[153522]: 353ms SPX_TRACE_INFO:  web_socket.cpp:479 Start to open websocket. WebSocket: 0x5b83d800, wsio handle: 0x1ea8258
[153522]: 353ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:149 Open
[153522]: 353ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:149 Open
[418114]: 503ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxBufferProperties' as '809583448'
[418114]: 503ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxReadWriteRingBuffer' as '956428994'
[418114]: 503ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxReadWriteRingBuffer' as '956428994'
[418114]: 503ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:534 Received audio chunk: time: 2024-01-02T16:45:26.6285960Z, size:3200.
[418114]: 503ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:548 ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[418114]: 503ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:161 [0x6000019a93b0] m_bytesTransited = 3200, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[153522]: 507ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:2661 TryChangeState; audioState/uspState: 1/0 => 2/1000 
[153522]: 507ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:286 ProcessAudio: (0x0x7f8f5cb0b010)->PrepareUspAudioStream() ... size=3200
[153522]: 507ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0x007f8f5cb0b068; name='Auto-Detect-Source-Languages'; value='en-US,fr-FR,id-ID,es-ES'
[153522]: 507ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:1190 speech.context='{"languageId":{"languages":["en-US","fr-FR","id-ID","es-ES"],"onSuccess":{"action":"Recognize"},"onUnknown":{"action":"None"},"mode":"DetectAtAudioStart","Priority":"PrioritizeLatency"},"phraseDetection":{"onSuccess":{"action":"None"},"onInterim":{"action":"None"}},"phraseOutput":{"interimResults":{"resultType":"Auto"},"phraseResults":{"resultType":"Always"}},"audio":{"streams":{"1":null}}}'
[153522]: 507ms SPX_TRACE_INFO:  usp_connection.cpp:609 RequestId: '2af5f3b08f6c43bfbebee1ab884675d1'
[153522]: 507ms SPX_TRACE_INFO:  usp_connection.cpp:762 Create requestId 2af5f3b08f6c43bfbebee1ab884675d1 for messageType 1
[153522]: 507ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:1251 UspWriteActual(..., 44)
[153522]: 507ms SPX_TRACE_INFO:  usp_connection.cpp:775 TS:156, Write 44 bytes audio data.
[153522]: 507ms SPX_TRACE_INFO:  usp_connection.cpp:799 The current speech request id is 2af5f3b08f6c43bfbebee1ab884675d1
